"sample","condition","dataset","Activated_Fib","ECM_Fib"
"GSM5005048","NC","GSE164241",12,12
"GSM5005050","NC","GSE164241",10,19
"GSM5005051","NC","GSE164241",23,83
"GSM5005052","NC","GSE164241",155,47
"GSM5005053","NC","GSE164241",41,233
"GSM5005055","NC","GSE164241",99,102
"GSM5005057","NC","GSE164241",247,58
"GSM5177039","NC","GSE164241",283,57
"GSM5177041","NC","GSE164241",88,12
"GSM5005058","PD","GSE164241",29,22
"GSM5005061","PD","GSE164241",234,80
"GSM5005062","PD","GSE164241",156,46
"GSM5177042","PD","GSE164241",80,64
"GSM5177043","PD","GSE164241",274,113
"GSM5177044","PD","GSE164241",102,31
